SentenceFrame,Typicality,QuantifierType,Sentence
Frame1,Typical,Often,Prosecutors often accuse defendants of committing a crime .
Frame1,Typical,Rarely,Prosecutors rarely accuse defendants of committing a crime .
Frame1,Atypical,Often,Prosecutors often accuse sheriffs of committing a crime .
Frame1,Atypical,Rarely,Prosecutors rarely accuse sheriffs of committing a crime .
Frame2,Typical,Often,Groupies often follow singers around the country .
Frame2,Typical,Rarely,Groupies rarely follow singers around the country .
Frame2,Atypical,Often,Groupies often follow boys around the country .
Frame2,Atypical,Rarely,Groupies rarely follow boys around the country .
Frame3,Typical,Often,Postmen often carry mail in their satchel .
Frame3,Typical,Rarely,Postmen rarely carry mail in their satchel .
Frame3,Atypical,Often,Postmen often carry oil in their satchel .
Frame3,Atypical,Rarely,Postmen rarely carry oil in their satchel .
Frame4,Typical,Often,Kittens often chase mice if given the chance .
Frame4,Typical,Rarely,Kittens rarely chase mice if given the chance .
Frame4,Atypical,Often,Kittens often chase flies if given the chance .
Frame4,Atypical,Rarely,Kittens rarely chase flies if given the chance .
Frame5,Typical,Often,Doctors often treat cancer as a serious condition .
Frame5,Typical,Rarely,Doctors rarely treat cancer as a serious condition .
Frame5,Atypical,Often,Doctors often treat hunger as a serious condition .
Frame5,Atypical,Rarely,Doctors rarely treat hunger as a serious condition .
Frame6,Typical,Often,Chefs often cook pancakes for breakfast at roadside diners .
Frame6,Typical,Rarely,Chefs rarely cook pancakes for breakfast at roadside diners .
Frame6,Atypical,Often,Chefs often cook pears for breakfast at roadside diners .
Frame6,Atypical,Rarely,Chefs rarely cook pears for breakfast at roadside diners .
Frame7,Typical,Often,Boxers often fight opponents in cities where there are large crowds .
Frame7,Typical,Rarely,Boxers rarely fight opponents in cities where there are large crowds .
Frame7,Atypical,Often,Boxers often fight lawsuits in cities where there are large crowds .
Frame7,Atypical,Rarely,Boxers rarely fight lawsuits in cities where there are large crowds .
Frame8,Typical,Often,Archaeologists often find artifacts when they excavate ancient cities .
Frame8,Typical,Rarely,Archaeologists rarely find artifacts when they excavate ancient cities .
Frame8,Atypical,Often,Archaeologists often find gold when they excavate ancient cities .
Frame8,Atypical,Rarely,Archaeologists rarely find gold when they excavate ancient cities .
Frame9,Typical,Often,Farmers often grow crops as their primary source of cash .
Frame9,Typical,Rarely,Farmers rarely grow crops as their primary source of cash .
Frame9,Atypical,Often,Farmers often grow worms as their primary source of cash .
Frame9,Atypical,Rarely,Farmers rarely grow worms as their primary source of cash .
